"payment_month","user_id","language","age","game_name","total_revenue","new_mrr","back_from_churn_revenue","churned_revenue","expansion_revenue","contraction_revenue","churn_month"
2022-04-01,DorDcyqBWMg5IEaflqn5Xw==,ru,23,game 3,50.16,50.16,,,,,
2022-04-01,dpfu6t8G4blqMn55KM8bSg==,uk,16,game 3,33.03,33.03,,,,,
2022-04-01,DqezK7HAqZ+GovyRuzxD1A==,uk,23,game 3,83.19,83.19,,,,,
2022-04-01,eCd4MBHIR4qUWapg05TFLQ==,ru,18,game 3,23.04,23.04,,,,,
2022-04-01,F9Jtg6+0qPUKWDgBJxG8cA==,ru,18,game 3,48.45,48.45,,48.45,,,2022-04-01
2022-04-01,fCdEizmUtnjNYQLbx81H8g==,ru,16,game 3,18.12,18.12,,18.12,,,2022-04-01
2022-04-01,Fqu+/F0rn1G4YP3f3yHA1Q==,uk,21,game 3,26.28,26.28,,,,,
2022-04-01,GEAVJz1gd3SThbDZR01fcA==,uk,14,game 3,87.36,87.36,,,,,
2022-04-01,Ghk2iJmzSUW4qLsmJgwOcw==,uk,16,game 3,128.40,,,,111.27,,
2022-04-01,gPRMy8HkmaiyX+13OxuP/A==,ru,21,game 3,55.86,55.86,,,,,
2022-04-01,Grpkzd4XIHh+ZbTMNxnUGg==,ru,30,game 3,35.55,35.55,,,,,
2022-04-01,H2Tik+BqoLgAQX4uSw/8vA==,uk,30,game 3,14.34,14.34,,,,,
2022-04-01,Hamw6F2EZmJfI2glmE2NEg==,ru,24,game 3,42.24,42.24,,,,,
2022-04-01,hkNuy6dTFIFcsQQfT5YkwQ==,uk,21,game 3,20.25,20.25,,20.25,,,2022-04-01
2022-04-01,HRBsRwGu5mkTvZBTNpA0tQ==,ru,17,game 3,59.64,59.64,,,,,
2022-04-01,hRkRI5YBVIH6bbqIDTbung==,uk,19,game 3,67.26,67.26,,,,,
2022-04-01,HxWcXHURvvtOJkrXAcDxQg==,uk,15,game 3,82.53,,,,16.35,,
2022-04-01,HZqx1XVZ1mb7lM9T61x+DA==,ru,43,game 3,14.61,14.61,,14.61,,,2022-04-01
2022-04-01,iFFApiXZ2wPdS666BLpKZw==,uk,18,game 3,49.92,,,49.92,23.07,,2022-04-01
2022-04-01,iFnn4bfYgNs8OS5MCcLjeA==,uk,28,game 3,18.39,18.39,,18.39,,,2022-04-01
2022-04-01,ilnMSoPJHAYMegDX02XG+w==,uk,25,game 3,54.03,54.03,,,,,
2022-04-01,J6WNl39fdxaY8ZtvV8wNkw==,uk,18,game 3,18.42,,,,2.28,,
2022-04-01,Jp0hnV9XOJGVV5jpFhlqgQ==,uk,25,game 3,56.16,,,,,-66.48,
2022-04-01,jVhb69DTRT5TSWYEiUrlbg==,uk,20,game 3,58.44,,,,40.98,,
2022-04-01,K/6KHxREKTlFZXRfBNVNuQ==,ru,19,game 3,41.46,41.46,,,,,
2022-04-01,l3sFUsG2qpcnrEzwRnjvtQ==,ru,15,game 3,59.73,,,59.73,21.63,,2022-04-01
2022-04-01,lCD23Awt3KotauWenCRr5w==,uk,20,game 3,47.94,47.94,,,,,
2022-04-01,Lug+Yg90jslWgHEN6dc+Ng==,uk,21,game 3,82.23,82.23,,82.23,,,2022-04-01
2022-04-01,nklUUkirU5GYU5ZtNOgx8w==,ru,20,game 3,19.11,19.11,,,,,
2022-04-01,nPrRQwP3UZo2KBlM2mJ8fg==,uk,24,game 3,31.68,31.68,,,,,
2022-04-01,o55dseByUOl9s5IQCz1kuQ==,uk,22,game 3,86.88,,,,63.72,,
2022-04-01,ojVPXYZw2oeGtcmG7LcLGA==,en,20,game 3,21.33,21.33,,,,,
2022-04-01,orbgZNBGuhZZx63HTAbyIw==,uk,25,game 3,62.13,62.13,,,,,
2022-04-01,OwODWxXcsV4bBnhONiLkwg==,uk,25,game 3,14.37,14.37,,14.37,,,2022-04-01
2022-04-01,pz7LUOs9i7xgncmHVxQvOw==,ru,24,game 3,19.5,,,,,-17.01,
2022-04-01,s27V1tbCAysovKSY1XcdWQ==,uk,34,game 3,39.48,,,,16.53,,
2022-04-01,ShEJVi+TtuQlvdw2uetd/Q==,uk,22,game 3,131.97,131.97,,,,,
2022-04-01,SyWxmJ+Ha8K2C9UJt8blVA==,ru,25,game 3,16.8,,,16.8,,-38.82,2022-04-01
2022-04-01,T+RA0/fgzbUBLF89D4AEDA==,ru,23,game 3,45.48,,,45.48,29.37,,2022-04-01
2022-04-01,TWDA+aUZ8OPMHOtz5cPPXA==,ru,20,game 3,62.58,62.58,,,,,
2022-04-01,V7J42heW8l19wiBJ8UpRyw==,ru,25,game 3,36.84,,,,,-12.96,
2022-04-01,Veep00i4vvZbTAVD6GMoiA==,uk,38,game 3,48.33,,,48.33,35.61,,2022-04-01
2022-04-01,W6fRYNhsTNHQkvkoFEUaVQ==,uk,16,game 3,57.72,,,,9.39,,
2022-04-01,WAdVK2sJHdBL0bCFyVa0ww==,uk,14,game 3,24.09,24.09,,24.09,,,2022-04-01
2022-04-01,Wua5DlzLb2yNeSrcG9Xi3g==,uk,23,game 3,59.85,59.85,,,,,
2022-04-01,xiXTXOEbWU+HnGOUmgc9/w==,uk,20,game 3,99.84,,,,75.66,,
2022-04-01,xnLJlU804PSS9tXKmm7gZQ==,ru,21,game 3,26.61,26.61,,,,,
2022-04-01,Y/nf8iBu/UCaNAuIRRjVwA==,uk,15,game 3,20.43,,,,,-3.84,
2022-04-01,ZmjMhgyYl6o8iFq964FEWg==,ru,17,game 3,56.70,,,,2.10,,
2022-04-01,zSepnWFgLH0tQb1s4mxKZQ==,uk,24,game 3,71.52,,,,48.51,,
2022-04-01,ZxxZ87IcpgSh4lQ/VSIjnA==,uk,22,game 3,42.18,42.18,,,,,
2022-05-01,"06RPvlsFPCmM9ag+iSM/Ag==",ru,34,game 3,28.32,,,,16.29,,
2022-05-01,"0A5RkQrm+GBgG7KSFk/xhw==",uk,31,game 3,13.8,13.8,,,,,
2022-05-01,"2FYEYdoJMUOtbJ6TruruWA==",ru,20,game 3,30.33,,,,,-26.52,
2022-05-01,"2Tm77AxZ7h7oCNKgCgMpnQ==",uk,23,game 3,72.06,,,,17.10,,
2022-05-01,"3iITAz/ADjFv3PDTgTjxSg==",ru,16,game 3,15.69,,,,,-65.73,
2022-05-01,"3rCdNEPkh3vwmYB0BVadEw==",ru,27,game 3,22.86,22.86,,22.86,,,2022-05-01
2022-05-01,"3Whh6FLR1MSfsuHKVdCEYQ==",uk,21,game 3,12.36,,,,,-47.31,
2022-05-01,"4b7l8C489HEJirtoe7xtFg==",uk,20,game 3,26.40,,,,11.46,,
2022-05-01,"4btLP2zvi8eBV0t08fdkKQ==",ru,20,game 3,91.68,,,,,-34.29,
2022-05-01,"4oH5e29koOH9zNYW8Kwcsg==",uk,28,game 3,12.99,12.99,,12.99,,,2022-05-01
2022-05-01,"6We7zBO7mVbNxGEl/xPKVg==",uk,19,game 3,22.74,22.74,,,,,
2022-05-01,"72brUr/DKItStlTen5pHYg==",uk,24,game 3,19.92,,19.92,,,,
2022-05-01,"75lEf3nSWLSf6GncqhR9gQ==",ru,22,game 3,58.26,,,,,-7.71,
2022-05-01,"787jk0VnxM8/sv/0TkvO6A==",uk,20,game 3,36.75,,,,,-16.74,
2022-05-01,"7EPlnA7OQ9MhMx+od6FA9g==",ru,23,game 3,51.18,,,,,-62.97,
2022-05-01,"7ew71UmoMb73L41PM/YL/w==",uk,17,game 3,32.10,32.10,,,,,
2022-05-01,"7GE5h/3N3lcro3K9T3aujw==",ru,32,game 3,118.95,,,,60.75,,
2022-05-01,"7SeM1pmnTTTXfhI+x3ldng==",ru,22,game 3,62.61,,,62.61,,-43.35,2022-05-01
2022-05-01,"8TTRdxncZg7Nl0tvfwsZng==",uk,30,game 3,14.25,14.25,,14.25,,,2022-05-01
2022-05-01,"9IWUQ1iWPfYSSN2tWuVqMQ==",ru,24,game 3,12.48,12.48,,,,,
2022-05-01,an5Xsrpir8vvhTb50gnppQ==,uk,43,game 3,15.51,15.51,,15.51,,,2022-05-01
2022-05-01,AN9at3LlvDamqXq8dvHD4w==,ru,24,game 3,66.57,,,,2.07,,
2022-05-01,aQDvOXzsDAJWi3Y47ptRPg==,ru,20,game 3,39.30,,,,24.09,,
2022-05-01,b3TBQFxyCxxypmPajF+jXw==,uk,15,game 3,28.68,,,,13.86,,
2022-05-01,b6lW5fOrJiJUE7dwhEp9VQ==,ru,17,game 3,94.11,94.11,,,,,
2022-05-01,B8zuTsAC2iJ98u2nlv/fUw==,uk,21,game 3,39.96,39.96,,39.96,,,2022-05-01
2022-05-01,Bcs3CbYx2EpbL9otxlEUmg==,uk,18,game 3,30.72,,30.72,,,,
2022-05-01,BDvlXttM/hbupcLic+5ZWg==,uk,29,game 3,12.93,12.93,,,,,
2022-05-01,BTD3ZjLKfkT6ZRBT9zRwtg==,uk,14,game 3,65.73,65.73,,,,,
2022-05-01,crKNTIblJ0113SKEtSJQHw==,uk,16,game 3,93.99,93.99,,,,,
2022-05-01,Dbff3x5cRk6/tUY3WQdzFQ==,uk,21,game 3,31.2,,,,,-29.37,
2022-05-01,DorDcyqBWMg5IEaflqn5Xw==,ru,23,game 3,37.62,,,,,-12.54,
2022-05-01,dpfu6t8G4blqMn55KM8bSg==,uk,16,game 3,33.15,,,,0.12,,
2022-05-01,DqezK7HAqZ+GovyRuzxD1A==,uk,23,game 3,72.15,,,,,-11.04,
2022-05-01,eCd4MBHIR4qUWapg05TFLQ==,ru,18,game 3,14.55,,,,,-8.49,
2022-05-01,er3/fOrRpmyqiRaC0CaFcg==,uk,21,game 3,47.22,47.22,,,,,
2022-05-01,FLqAK4qKiMkvlLBgGwbBnQ==,ru,31,game 3,24.36,24.36,,24.36,,,2022-05-01
2022-05-01,Fqu+/F0rn1G4YP3f3yHA1Q==,uk,21,game 3,20.73,,,20.73,,-5.55,2022-05-01
2022-05-01,Fx9+2aYPOHAS3fdXpLQ9Pg==,ru,35,game 3,31.56,,31.56,31.56,,,2022-05-01
2022-05-01,fXlo39/YD2z9SEVShTXp6w==,uk,34,game 3,17.34,17.34,,17.34,,,2022-05-01
2022-05-01,GEAVJz1gd3SThbDZR01fcA==,uk,14,game 3,48.30,,,,,-39.06,
2022-05-01,Ghk2iJmzSUW4qLsmJgwOcw==,uk,16,game 3,67.29,,,,,-61.11,
2022-05-01,GOl6BQXsy0zvbvIWIoKEQw==,ru,18,game 3,64.65,64.65,,64.65,,,2022-05-01
2022-05-01,gPRMy8HkmaiyX+13OxuP/A==,ru,21,game 3,22.17,,,,,-33.69,
2022-05-01,Grpkzd4XIHh+ZbTMNxnUGg==,ru,30,game 3,41.88,,,,6.33,,
2022-05-01,H2Tik+BqoLgAQX4uSw/8vA==,uk,30,game 3,12.09,,,,,-2.25,
2022-05-01,Hamw6F2EZmJfI2glmE2NEg==,ru,24,game 3,15.6,,,,,-26.64,
2022-05-01,HJccOn6v5KHqBa8wRu42oQ==,uk,20,game 3,18.84,,18.84,18.84,,,2022-05-01
2022-05-01,HRBsRwGu5mkTvZBTNpA0tQ==,ru,17,game 3,20.85,,,20.85,,-38.79,2022-05-01
2022-05-01,hRkRI5YBVIH6bbqIDTbung==,uk,19,game 3,16.44,,,16.44,,-50.82,2022-05-01
2022-05-01,HxWcXHURvvtOJkrXAcDxQg==,uk,15,game 3,122.94,,,,40.41,,
2022-05-01,IdKyooyTjAbvCA7p+ujKCw==,uk,19,game 3,153.54,153.54,,,,,
2022-05-01,ilnMSoPJHAYMegDX02XG+w==,uk,25,game 3,64.86,,,64.86,10.83,,2022-05-01
2022-05-01,J6WNl39fdxaY8ZtvV8wNkw==,uk,18,game 3,24.99,,,,6.57,,
2022-05-01,jKSOgyMP0Yzld1pVpvyYrg==,uk,36,game 3,15.06,15.06,,15.06,,,2022-05-01
2022-05-01,Jp0hnV9XOJGVV5jpFhlqgQ==,uk,25,game 3,18.06,,,,,-38.10,
2022-05-01,jVhb69DTRT5TSWYEiUrlbg==,uk,20,game 3,54.27,,,,,-4.17,
2022-05-01,K/6KHxREKTlFZXRfBNVNuQ==,ru,19,game 3,13.26,,,,,-28.20,
2022-05-01,lCD23Awt3KotauWenCRr5w==,uk,20,game 3,90.75,,,90.75,42.81,,2022-05-01
2022-05-01,lGI5+OCzV6nnDMpyZWtZAg==,ru,18,game 3,17.25,17.25,,17.25,,,2022-05-01
2022-05-01,lP6BWSFF4OZeWp0jrAHY9g==,uk,29,game 3,13.2,13.2,,13.2,,,2022-05-01
2022-05-01,LWAxWBdiFs/25YxI4ZGthA==,ru,17,game 3,86.46,86.46,,,,,
2022-05-01,MRcEXu/KG95hsIyJM/816A==,uk,32,game 3,37.98,37.98,,,,,
2022-05-01,nklUUkirU5GYU5ZtNOgx8w==,ru,20,game 3,40.62,,,40.62,21.51,,2022-05-01
2022-05-01,nPrRQwP3UZo2KBlM2mJ8fg==,uk,24,game 3,70.08,,,,38.40,,
2022-05-01,o55dseByUOl9s5IQCz1kuQ==,uk,22,game 3,16.44,,,,,-70.44,
2022-05-01,ojVPXYZw2oeGtcmG7LcLGA==,en,20,game 3,75.90,,,,54.57,,
2022-05-01,orbgZNBGuhZZx63HTAbyIw==,uk,25,game 3,155.97,,,,93.84,,
2022-05-01,pLOCMIX+imLIzoDehgdOPA==,uk,22,game 3,68.16,68.16,,,,,
2022-05-01,prNQwR2IPPsvGpFgOpcGaQ==,uk,14,game 3,95.52,,95.52,95.52,,,2022-05-01
2022-05-01,pz7LUOs9i7xgncmHVxQvOw==,ru,24,game 3,39.6,,,,20.1,,
2022-05-01,qEF/fPDQLJPXIx6RiSIP1A==,uk,20,game 3,21.84,21.84,,,,,
2022-05-01,qqYyR2vRI+7pgiuyTnVM+A==,ru,19,game 3,40.17,40.17,,,,,
2022-05-01,q/Tz1C31XWaBUDrRn2ezDw==,uk,21,game 3,17.64,17.64,,,,,
2022-05-01,QZBiEFECZAgVl5IkN9/cFw==,en,16,game 3,91.17,91.17,,,,,
2022-05-01,RQBsCvxlogTNUidSygqgcQ==,uk,28,game 3,12.18,12.18,,,,,
2022-05-01,RwtKwrRSrVpyAMRaDyhr8g==,uk,44,game 3,24.06,24.06,,,,,
2022-05-01,s27V1tbCAysovKSY1XcdWQ==,uk,34,game 3,12.15,,,12.15,,-27.33,2022-05-01
2022-05-01,S+4OKFlwA3L8VcjOt8TurA==,uk,29,game 3,15.24,15.24,,,,,
2022-05-01,ShEJVi+TtuQlvdw2uetd/Q==,uk,22,game 3,27.87,,,,,-104.10,
2022-05-01,TWDA+aUZ8OPMHOtz5cPPXA==,ru,20,game 3,27.42,,,,,-35.16,
2022-05-01,Uen3Ap0lnrgWVWJtFCSo7g==,ru,17,game 3,47.88,,47.88,,,,
2022-05-01,UNcp1RmIObUiGNqLDHjNVw==,uk,16,game 3,28.35,28.35,,28.35,,,2022-05-01
2022-05-01,urYfKANRgMuaQO9lQnBgnQ==,uk,31,game 3,12.66,12.66,,,,,
2022-05-01,V7J42heW8l19wiBJ8UpRyw==,ru,25,game 3,42.72,,,,5.88,,
2022-05-01,W6fRYNhsTNHQkvkoFEUaVQ==,uk,16,game 3,95.91,,,,38.19,,
2022-05-01,WDsSR+yQGqoMMBfCxqkZlw==,uk,24,game 3,49.05,49.05,,,,,
2022-05-01,wDXJbTe2RLmAMKsPm5zZDg==,ru,17,game 3,74.01,74.01,,,,,
2022-05-01,Wi8qtp9drPDZD0laCPi2Ng==,uk,26,game 3,12.99,12.99,,,,,
2022-05-01,wjWDL/+l9D+LVt/9gNMH5Q==,ru,20,game 3,12.12,12.12,,,,,
2022-05-01,Wua5DlzLb2yNeSrcG9Xi3g==,uk,23,game 3,68.73,,,68.73,8.88,,2022-05-01
2022-05-01,xiXTXOEbWU+HnGOUmgc9/w==,uk,20,game 3,73.29,,,,,-26.55,
2022-05-01,xnLJlU804PSS9tXKmm7gZQ==,ru,21,game 3,96.06,,,,69.45,,
2022-05-01,xVwGwMaEG1yZydv5VIfEQA==,uk,22,game 3,17.4,17.4,,17.4,,,2022-05-01
2022-05-01,Y/nf8iBu/UCaNAuIRRjVwA==,uk,15,game 3,15.33,,,,,-5.10,
2022-05-01,Z7/6qvk8WKH3uR6IMYlCxw==,uk,30,game 3,12.09,12.09,,,,,
2022-05-01,ZmjMhgyYl6o8iFq964FEWg==,ru,17,game 3,27.0,,,,,-29.70,
2022-05-01,zmZPan/KZoyrIR2r/SvLdA==,ru,15,game 3,133.14,133.14,,133.14,,,2022-05-01
2022-05-01,zSepnWFgLH0tQb1s4mxKZQ==,uk,24,game 3,16.05,,,,,-55.47,
2022-05-01,ZxxZ87IcpgSh4lQ/VSIjnA==,uk,22,game 3,38.76,,,,,-3.42,
2022-06-01,"06RPvlsFPCmM9ag+iSM/Ag==",ru,34,game 3,29.07,,,,0.75,,
2022-06-01,"0A5RkQrm+GBgG7KSFk/xhw==",uk,31,game 3,48.21,,,,34.41,,
2022-06-01,"1jx1AjqUwE9sbCyafQnUNQ==",ru,25,game 3,56.13,56.13,,,,,
2022-06-01,"2FYEYdoJMUOtbJ6TruruWA==",ru,20,game 3,22.47,,,,,-7.86,
2022-06-01,"2Tm77AxZ7h7oCNKgCgMpnQ==",uk,23,game 3,25.35,,,,,-46.71,
2022-06-01,"3iITAz/ADjFv3PDTgTjxSg==",ru,16,game 3,34.35,,,,18.66,,
2022-06-01,"3KHhqZr7/1n2+bTP13WuXA==",uk,16,game 3,74.85,74.85,,74.85,,,2022-06-01
2022-06-01,"3Whh6FLR1MSfsuHKVdCEYQ==",uk,21,game 3,20.13,,,,7.77,,
2022-06-01,"3Xuq0acIoGEgw19qflIoog==",uk,25,game 3,12.69,12.69,,,,,
2022-06-01,"4b7l8C489HEJirtoe7xtFg==",uk,20,game 3,22.83,,,,,-3.57,
2022-06-01,"4btLP2zvi8eBV0t08fdkKQ==",ru,20,game 3,27.87,,,,,-63.81,
2022-06-01,"4pssft0TgDfiQexjbe25lw==",ru,26,game 3,14.76,14.76,,,,,
2022-06-01,"6We7zBO7mVbNxGEl/xPKVg==",uk,19,game 3,28.95,,,,6.21,,
2022-06-01,"72brUr/DKItStlTen5pHYg==",uk,24,game 3,86.91,,,,66.99,,
2022-06-01,"75lEf3nSWLSf6GncqhR9gQ==",ru,22,game 3,86.85,,,,28.59,,
2022-06-01,"787jk0VnxM8/sv/0TkvO6A==",uk,20,game 3,97.95,,,,61.20,,
2022-06-01,"7EPlnA7OQ9MhMx+od6FA9g==",ru,23,game 3,12.39,,,12.39,,-38.79,2022-06-01
2022-06-01,"7ew71UmoMb73L41PM/YL/w==",uk,17,game 3,34.11,,,,2.01,,
2022-06-01,"7GE5h/3N3lcro3K9T3aujw==",ru,32,game 3,144.75,,,,25.80,,
2022-06-01,"7zbxKst2yi3pfdVI8iEChw==",ru,15,game 3,13.05,,13.05,13.05,,,2022-06-01
2022-06-01,"9IWUQ1iWPfYSSN2tWuVqMQ==",ru,24,game 3,88.08,,,,75.60,,
2022-06-01,A1qVjssGQ+ZUWZu3Z5DzTA==,uk,24,game 3,107.40,,107.40,,,,
2022-06-01,AN9at3LlvDamqXq8dvHD4w==,ru,24,game 3,18.99,,,,,-47.58,
2022-06-01,aQDvOXzsDAJWi3Y47ptRPg==,ru,20,game 3,19.08,,,19.08,,-20.22,2022-06-01
2022-06-01,b3TBQFxyCxxypmPajF+jXw==,uk,15,game 3,71.31,,,71.31,42.63,,2022-06-01
2022-06-01,B4b6v6eUHvAVOeAQk6EEiw==,ru,23,game 3,96.33,,96.33,,,,
2022-06-01,b6lW5fOrJiJUE7dwhEp9VQ==,ru,17,game 3,41.07,,,,,-53.04,
2022-06-01,Bcs3CbYx2EpbL9otxlEUmg==,uk,18,game 3,31.38,,,,0.66,,
2022-06-01,BDvlXttM/hbupcLic+5ZWg==,uk,29,game 3,46.53,,,46.53,33.60,,2022-06-01
2022-06-01,BJlqmsfEshc/QjsD7VgEjg==,ru,18,game 3,113.76,,113.76,113.76,,,2022-06-01
2022-06-01,BTD3ZjLKfkT6ZRBT9zRwtg==,uk,14,game 3,46.20,,,,,-19.53,
2022-06-01,crKNTIblJ0113SKEtSJQHw==,uk,16,game 3,29.97,,,,,-64.02,
2022-06-01,DAMO0tILVRlXZhYONdvs0Q==,uk,15,game 3,53.55,53.55,,,,,
2022-06-01,Dbff3x5cRk6/tUY3WQdzFQ==,uk,21,game 3,32.37,,,,1.17,,
2022-06-01,DorDcyqBWMg5IEaflqn5Xw==,ru,23,game 3,13.89,,,13.89,,-23.73,2022-06-01
